external_gene_name	reactome
fbn2b	R-DRE-1474228
fbn2b	R-DRE-216083
fbn2b	R-DRE-1474244
fbn2b	R-DRE-9006936
fbn2b	R-DRE-597592
fbn2b	R-DRE-392499
fbn2b	R-DRE-162582
NAGLU	R-DRE-2024096
NAGLU	R-DRE-1638091
NAGLU	R-DRE-1630316
NAGLU	R-DRE-71387
NAGLU	R-DRE-1430728
HECTD2	R-DRE-983169
HECTD2	R-DRE-983168
HECTD2	R-DRE-1280218
HECTD2	R-DRE-168256
	R-DRE-8866904
	R-DRE-8864260
	R-DRE-74160
	R-DRE-73857
	R-DRE-212436
ints14	R-DRE-6807505
ints14	R-DRE-74160
ints14	R-DRE-73857
EGLN2	R-DRE-1234176
EGLN2	R-DRE-1234174
EGLN2	R-DRE-2262752
EGLN2	R-DRE-8953897
stc2a	R-DRE-8957275
stc2a	R-DRE-381426
stc2a	R-DRE-597592
stc2a	R-DRE-392499
uchl1	R-DRE-5689603
uchl1	R-DRE-5688426
uchl1	R-DRE-597592
uchl1	R-DRE-392499
exoc2	R-DRE-264876
exoc2	R-DRE-5620920
exoc2	R-DRE-5617833
exoc2	R-DRE-5620916
exoc2	R-DRE-1852241
exoc2	R-DRE-2980736
exoc2	R-DRE-392499
lamtor5	R-DRE-9711097
lamtor5	R-DRE-9639288
lamtor5	R-DRE-166208
lamtor5	R-DRE-6807070
lamtor5	R-DRE-8943724
lamtor5	R-DRE-9612973
lamtor5	R-DRE-5628897
lamtor5	R-DRE-380972
lamtor5	R-DRE-1632852
lamtor5	R-DRE-165159
lamtor5	R-DRE-74160
lamtor5	R-DRE-73857
lamtor5	R-DRE-3700989
lamtor5	R-DRE-212436
lamtor5	R-DRE-9006925
lamtor5	R-DRE-1257604
lamtor5	R-DRE-162582
lamtor5	R-DRE-2262752
lamtor5	R-DRE-8953897
b3galt2	R-DRE-9033658
b3galt2	R-DRE-9037629
b3galt2	R-DRE-71387
b3galt2	R-DRE-1430728
wdr46	R-DRE-72312
wdr46	R-DRE-8868773
wdr46	R-DRE-6791226
wdr46	R-DRE-8953854
faah2a	R-DRE-2142753
faah2a	R-DRE-8978868
faah2a	R-DRE-556833
faah2a	R-DRE-1430728
hacd3	R-DRE-8978868
hacd3	R-DRE-75876
hacd3	R-DRE-75105
hacd3	R-DRE-556833
hacd3	R-DRE-1430728
rxrba	R-DRE-5362517
rxrba	R-DRE-9623433
rxrba	R-DRE-9029569
rxrba	R-DRE-9024446
rxrba	R-DRE-383280
rxrba	R-DRE-74160
rxrba	R-DRE-73857
rxrba	R-DRE-212436
rxrba	R-DRE-9006931
rxrba	R-DRE-162582
pdzd11	R-DRE-6803544
pdzd11	R-DRE-6803157
pdzd11	R-DRE-936837
pdzd11	R-DRE-199220
pdzd11	R-DRE-196780
pdzd11	R-DRE-425397
pdzd11	R-DRE-196854
pdzd11	R-DRE-196849
pdzd11	R-DRE-425407
pdzd11	R-DRE-168249
pdzd11	R-DRE-168256
pdzd11	R-DRE-1430728
pdzd11	R-DRE-382551
pdzd11	R-DRE-983712
prok1	R-DRE-416476
prok1	R-DRE-388396
prok1	R-DRE-500792
prok1	R-DRE-373076
prok1	R-DRE-375276
prok1	R-DRE-372790
prok1	R-DRE-162582
WFS1	R-DRE-8957275
WFS1	R-DRE-381426
WFS1	R-DRE-597592
WFS1	R-DRE-392499
casp3a	R-DRE-111459
casp3a	R-DRE-264870
casp3a	R-DRE-2028269
casp3a	R-DRE-351906
casp3a	R-DRE-5620971
casp3a	R-DRE-69416
casp3a	R-DRE-5218900
casp3a	R-DRE-3371378
casp3a	R-DRE-140534
casp3a	R-DRE-111461
casp3a	R-DRE-5357769
casp3a	R-DRE-418889
casp3a	R-DRE-140342
casp3a	R-DRE-75158
casp3a	R-DRE-75153
casp3a	R-DRE-111465
casp3a	R-DRE-75893
casp3a	R-DRE-5357905
casp3a	R-DRE-111471
casp3a	R-DRE-111469
casp3a	R-DRE-109606
casp3a	R-DRE-109581
casp3a	R-DRE-5357801
casp3a	R-DRE-5675482
casp3a	R-DRE-5218859
casp3a	R-DRE-5213460
casp3a	R-DRE-73887
casp3a	R-DRE-449836
casp3a	R-DRE-449147
casp3a	R-DRE-168256
casp3a	R-DRE-1280215
casp3a	R-DRE-162582
cd79a	R-DRE-983695
cd79a	R-DRE-983705
cd79a	R-DRE-1280218
cd79a	R-DRE-168256
ensab	R-DRE-2465910
ensab	R-DRE-68875
ensab	R-DRE-68886
ensab	R-DRE-69278
ensab	R-DRE-1640170
