ID	p.adjust
GO:0062023	6.62431809106231e-17
GO:0016324	7.02947485289548e-12
GO:0001917	2.57969826847346e-11
GO:0043025	1.03997028787145e-10
GO:0005903	1.53709309551283e-09
GO:0045177	2.21862418287369e-09
GO:0097060	7.48665957584344e-09
GO:0001750	1.02124210332447e-08
GO:0070382	1.53279079596438e-08
GO:0008021	1.53279079596438e-08
GO:0031253	2.01487196160495e-08
GO:0030672	2.56660861975217e-08
GO:0099501	2.56660861975217e-08
GO:0098862	4.18663996830379e-08
GO:0150034	4.5635437766763e-08
GO:0097733	1.64766669204874e-07
GO:0097731	2.67340670969405e-07
GO:0005788	5.61784049855199e-07
GO:0098982	8.23962937580538e-07
GO:0030133	1.44658076721057e-06
GO:0042734	1.75094470202459e-06
GO:0097730	2.17604395201047e-06
GO:0043204	2.61826323948267e-06
GO:0098984	3.9932747387243e-06
GO:0044306	8.30527031340042e-06
GO:0045178	8.30527031340042e-06
GO:0060205	8.35251643919163e-06
GO:0031983	8.74219464159271e-06
GO:0031526	8.87279108593357e-06
GO:0009925	1.0383412049188e-05
GO:0016323	1.12933079521123e-05
GO:0060198	1.35582197376127e-05
GO:0030658	2.61325310626799e-05
GO:0031093	3.21054230227457e-05
GO:0042470	3.21054230227457e-05
GO:0048770	3.21054230227457e-05
GO:0034774	3.21054230227457e-05
GO:0043679	3.47790555146366e-05
GO:0031045	3.47790555146366e-05
GO:0048786	3.86869992288171e-05
GO:0098992	4.57442128643528e-05
GO:0098978	5.82307144296856e-05
GO:0031091	8.22359900589578e-05
GO:0098685	9.36638329856943e-05
GO:0045211	0.000188026336235703
GO:0043202	0.000213783060104107
GO:0030427	0.000240864664266015
GO:0060076	0.000291519629249043
GO:0005775	0.000307919609414518
GO:0097381	0.000354641092417825
GO:0030426	0.00040392700395571
GO:0014069	0.000469664163786311
GO:1905360	0.000492542508969596
GO:0032279	0.000555260787178385
GO:0098686	0.000592905127244154
GO:0099572	0.000608145235391234
GO:0005834	0.000695781411514258
GO:0072562	0.000903368774509244
GO:0043195	0.00103328952913485
GO:0042622	0.00107606678392202
GO:0030665	0.00117211623446334
GO:0045121	0.00163300302841753
GO:0005581	0.00165853537790901
GO:0098857	0.00165853537790901
GO:0031201	0.00165853537790901
GO:0031256	0.00223731286577341
GO:0098858	0.00476769538351236
GO:0034707	0.00480924604859531
GO:0033162	0.00480924604859531
GO:0045009	0.00480924604859531
GO:0090741	0.00480924604859531
GO:0098644	0.00480924604859531
GO:0097386	0.00485388530836211
GO:0097470	0.00609645239914989
GO:0031252	0.00609645239914989
GO:0005604	0.00746244599746819
GO:0005938	0.00825025118153239
GO:0019897	0.00859500063942089
GO:0005921	0.00891625663231563
GO:0098684	0.00891625663231563
GO:0031234	0.0092620950121375
GO:0030662	0.00988246165489988
GO:0060077	0.0103017498050086
GO:0005796	0.0107236319850297
GO:0098831	0.0133116723192365
GO:0030136	0.016272256148968
GO:0098688	0.0166785272616872
GO:1902711	0.0166785272616872
GO:0005583	0.0171195111029755
GO:0098643	0.0171195111029755
GO:0099738	0.0220203843239122
GO:0042583	0.0231602089496981
GO:0005922	0.0247042890208943
GO:0043083	0.0247042890208943
GO:1902710	0.0247042890208943
GO:0048787	0.025995999451385
GO:0005865	0.0299331792688101
GO:0005902	0.0324185193182344
GO:0031594	0.0397488752653665
GO:0060170	0.0397488752653665
GO:0032587	0.0397488752653665
GO:0031528	0.0397488752653665
GO:1904724	0.045911353380747
