ID	p.adjust
GO:0007601	2.27005191749775e-27
GO:0050953	3.7816052253387e-27
GO:0046942	9.12233095382335e-17
GO:0015849	9.12233095382335e-17
GO:0015711	6.73727240655813e-16
GO:0043010	5.63387277695542e-15
GO:0048880	1.79324559859233e-14
GO:0150063	2.62643575708155e-14
GO:0006836	3.26515630428628e-14
GO:0001654	4.60553076530952e-14
GO:0023061	1.80481466465142e-13
GO:0001505	3.96118716169801e-13
GO:0009583	4.31689727968461e-13
GO:0006865	2.71568809656725e-12
GO:0042886	7.93276547196822e-12
GO:1905039	4.9246586118656e-11
GO:1903825	5.48721587248979e-11
GO:0009584	5.48721587248979e-11
GO:0007269	9.23424816313493e-11
GO:0099643	9.23424816313493e-11
GO:0003333	1.50836664796589e-10
GO:0050804	1.50836664796589e-10
GO:0099177	1.5355394148435e-10
GO:0099504	1.5355394148435e-10
GO:0099003	2.86696870075054e-10
GO:0015807	2.91162947617227e-10
GO:0009416	3.35996118618225e-10
GO:0007602	7.91535670226281e-10
GO:0015804	2.657664652647e-09
GO:0009581	2.70968106024137e-09
GO:0009582	4.7337261009328e-09
GO:0060041	5.52897984016479e-09
GO:0006835	1.23369803234053e-08
GO:0015837	2.03087410705225e-08
GO:0006887	2.93158788686712e-08
GO:1901605	3.09585627165756e-08
GO:0003407	3.09585627165756e-08
GO:0090596	3.25165966790293e-08
GO:0009914	3.28191356143741e-08
GO:0048592	3.36404175003724e-08
GO:0016079	3.72868858657331e-08
GO:0002088	4.17067864911882e-08
GO:0009063	4.6742800976387e-08
GO:0010038	6.45561647887468e-08
GO:0048593	8.51823619886505e-08
GO:1902475	1.02747006056545e-07
GO:1902074	1.19915391065031e-07
GO:0015800	1.72624842386638e-07
GO:0009314	1.88894154151559e-07
GO:0051952	2.1970112181517e-07
GO:0015833	5.14490246037502e-07
GO:0089718	5.65125578732432e-07
GO:0046879	6.92182472259002e-07
GO:0030198	8.29268885717708e-07
GO:0043062	8.97138558636574e-07
GO:0048499	9.48404643735826e-07
GO:0045229	9.53371483368005e-07
GO:0006520	1.02499696781832e-06
GO:0015698	1.13516274845361e-06
GO:0030072	1.40749713893327e-06
GO:0001754	2.07803245641226e-06
GO:1903532	2.12700047835768e-06
GO:1901606	2.19014508476413e-06
GO:0002790	2.29862685216732e-06
GO:0003018	2.6818673675061e-06
GO:0000101	2.70955556668511e-06
GO:0045055	2.74369466858805e-06
GO:0048791	3.93580390140659e-06
GO:0017157	4.27725953785318e-06
GO:0051047	5.34764267159753e-06
GO:0009306	5.58087046831013e-06
GO:0046928	5.63968937770805e-06
GO:0035592	5.84485924386359e-06
GO:0051592	5.84485924386359e-06
GO:0051588	5.84485924386359e-06
GO:0048167	5.89483304146151e-06
GO:0051938	5.97410855387605e-06
GO:0006536	6.13682858542302e-06
GO:0042063	7.51723380936677e-06
GO:0009410	8.1668863046614e-06
GO:0009308	8.1668863046614e-06
GO:0031629	9.56224834948437e-06
GO:0071692	9.91159670794284e-06
GO:1902075	1.02352721848306e-05
GO:0015850	1.02352721848306e-05
GO:0051954	1.04625464531895e-05
GO:0097305	1.19242430619336e-05
GO:0098739	1.31436159760426e-05
GO:0099500	1.4354382460275e-05
GO:0046530	1.5571963337845e-05
GO:0050806	1.88784332148094e-05
GO:0060042	1.91788737043392e-05
GO:0044282	1.91812899600805e-05
GO:0006576	2.18191977419312e-05
GO:0021700	2.24651447945589e-05
GO:0017156	2.30263997567043e-05
GO:0043605	2.40747704993391e-05
GO:0009952	2.49704005050444e-05
GO:0030073	2.84666835269123e-05
GO:0015718	3.11547158467887e-05
GO:0009072	3.16952754802445e-05
GO:0008643	3.19771739520068e-05
GO:0007626	3.40159532063351e-05
GO:0007612	3.5545504747163e-05
GO:0051591	3.5545504747163e-05
GO:0009074	3.59296950886017e-05
GO:0046887	3.874181569217e-05
GO:0006814	4.50933701030098e-05
GO:0031630	4.50933701030098e-05
GO:1901632	4.50933701030098e-05
GO:0050890	4.50933701030098e-05
GO:0071277	4.78467931241478e-05
GO:0042462	5.671260248977e-05
GO:0046883	5.69929092077914e-05
GO:0006570	5.95167112211028e-05
GO:0001503	6.39664850636168e-05
GO:0034219	6.70963166186812e-05
GO:0042461	7.51618375728271e-05
GO:0071248	8.2060410026845e-05
GO:0090277	8.4639292327242e-05
GO:0008277	9.56732780696291e-05
GO:0051955	0.00010141116322356
GO:0002793	0.000110811285632637
GO:0098661	0.000117972363388784
GO:0031338	0.000117972363388784
GO:0051957	0.000117972363388784
GO:0071695	0.000124472988904015
GO:0001823	0.000131047028571333
GO:0050808	0.000135367066380205
GO:0034764	0.00013604325550464
GO:0007611	0.00013604325550464
GO:0014074	0.000144061284250902
GO:0071241	0.000144061284250902
GO:0051412	0.000145283161326574
GO:0010001	0.000145283161326574
GO:0018958	0.00015326711506964
GO:0009743	0.00015326711506964
GO:0045921	0.000172100174878463
GO:0009746	0.000172100174878463
GO:0010232	0.000172100174878463
