ID	p.adjust
GO:0004674	0.000169613627549476
GO:0001228	0.000169613627549476
GO:0001216	0.000169613627549476
GO:0106310	0.000546733324252837
GO:0005516	0.00150001591773636
GO:0030695	0.00150001591773636
GO:0060589	0.00150001591773636
GO:0001221	0.00158037602588204
GO:0005085	0.00246000096420283
GO:0140297	0.00272242964201432
GO:0051015	0.00335735300698069
GO:0004402	0.00719145343450756
GO:0061629	0.00719145343450756
GO:0004879	0.00719145343450756
GO:0098531	0.00719145343450756
GO:0003779	0.00719145343450756
GO:0005539	0.00989947425745269
GO:0061134	0.00989947425745269
GO:0061733	0.0111760949188315
GO:0031490	0.0173266310811078
GO:0140993	0.0180037779351111
GO:0005520	0.0189708969227066
GO:0034212	0.021900436335997
GO:0043394	0.0252182997291521
GO:0016410	0.0252182997291521
GO:0051959	0.0252182997291521
GO:0010484	0.0252182997291521
GO:0005201	0.0334828398141011
GO:0044325	0.0380364526343458
GO:0051087	0.0380364526343458
GO:0008080	0.0397588930528134
GO:0005159	0.0410155744018678
GO:0005200	0.0410155744018678
GO:1901681	0.0451625053792946
GO:0008201	0.0464994110001521
GO:0042578	0.0464994110001521
GO:0019842	0.0464994110001521
GO:0034185	0.0481423131638419
