ID	p.adjust
GO:0009410	6.73086144826522e-06
GO:0050776	6.73086144826522e-06
GO:0032355	6.73086144826522e-06
GO:0071466	6.74170203128641e-06
GO:0002682	6.77323539932056e-06
GO:0006805	1.7025794690051e-05
GO:0043627	3.64949049995378e-05
GO:0002684	4.05344582270574e-05
GO:0002252	0.000122072501975068
GO:0071391	0.000122072501975068
GO:0002221	0.000371508097077355
GO:0006869	0.000500025083316063
GO:0002224	0.000655594057802196
GO:0034097	0.0008648337284995
GO:0071345	0.000963525705818941
GO:1901700	0.000963525705818941
GO:0010876	0.00106795794873437
GO:0006936	0.00114637305966785
GO:0019221	0.00164717053527392
GO:0003012	0.00192427784954848
GO:0043207	0.00192427784954848
GO:0051707	0.00192427784954848
GO:0009607	0.00206222938397091
GO:0016125	0.00206760551987676
GO:0002702	0.00206760551987676
GO:0033344	0.00271569427871189
GO:0007599	0.00271569427871189
GO:0002764	0.00271569427871189
GO:0098542	0.00271569427871189
GO:0019882	0.00271569427871189
GO:0050778	0.00271569427871189
GO:0051240	0.00353286016929765
GO:0044282	0.00405785902355009
GO:0002700	0.00407074450670119
GO:0008202	0.00425400607083774
GO:0009611	0.00456029271730209
GO:1901136	0.00456029271730209
GO:0015671	0.00483963886859575
GO:0003009	0.00486283434669348
GO:0045087	0.00543367282426296
GO:0002699	0.00561296655988047
GO:0002720	0.00571884558288874
GO:0002697	0.00618260227508721
GO:0050879	0.00736724425212505
GO:0050881	0.00736724425212505
GO:0002474	0.00767441866175073
GO:0030301	0.00838213349356104
GO:0001819	0.00841270819896247
GO:0007596	0.00880587581405174
GO:0050878	0.00940567972204397
GO:0006026	0.00940567972204397
GO:0015669	0.00940567972204397
GO:0002440	0.0108143218396434
GO:0006941	0.0108143218396434
GO:0050817	0.0108143218396434
GO:0008203	0.0117727099274806
GO:0050905	0.0117898573758262
GO:0002718	0.0118177785030155
GO:0042060	0.0119233268591685
GO:1901615	0.0119233268591685
GO:0015918	0.0121604250279374
GO:0072593	0.012217474407911
GO:0032870	0.0130616752069968
GO:0009725	0.0140904989449452
GO:0002367	0.0140904989449452
GO:0014070	0.0145631313686422
GO:0002253	0.0162554847970549
GO:0033865	0.0163923278561888
GO:0033875	0.0163923278561888
GO:0034032	0.0163923278561888
GO:1902652	0.0163923278561888
GO:0001959	0.0163923278561888
GO:0060759	0.0163923278561888
GO:0045321	0.0187740711760311
GO:0006022	0.0187740711760311
GO:0048002	0.0200183498430119
GO:0033993	0.0206086483579968
GO:0006637	0.0206086483579968
GO:0035383	0.0206086483579968
GO:0006959	0.02074433188277
GO:0052548	0.02074433188277
GO:0016042	0.028566150242386
GO:0048009	0.028566150242386
GO:0002683	0.028566150242386
GO:0034340	0.0394227799197923
GO:0060337	0.0394227799197923
GO:0071357	0.0394227799197923
GO:1901072	0.0394227799197923
GO:0001817	0.0413552333005517
GO:0044242	0.0439824552571994
GO:0006066	0.0463012564421981
GO:0006801	0.0463012564421981
GO:0003015	0.0475450515556659
GO:0051091	0.0475450515556659
GO:0006706	0.0481917950834729
GO:0034121	0.0481917950834729
GO:0002366	0.0481917950834729
GO:0006641	0.0481917950834729
GO:0060048	0.0497117328691011
