go_id	external_gene_name
238	GO:0045202	nlgn3b
239	GO:0042043	nlgn3b
240	GO:0007155	nlgn3b
241	GO:0005887	nlgn3b
242	GO:0016020	nlgn3b
243	GO:0005737	pitpnaa
244	GO:0043009	pitpnaa
245	GO:0005634	pitpnaa
246	GO:0015914	pitpnaa
247	GO:0005548	pitpnaa
248	GO:0008526	pitpnaa
249	GO:0035091	pitpnaa
250	GO:0007409	pitpnaa
251	GO:0005829	pitpnaa
252	GO:0031210	pitpnaa
253	GO:0008525	pitpnaa
254	GO:0120009	pitpnaa
255	GO:0008033	ctu1
256	GO:0034227	ctu1
257	GO:0002098	ctu1
258	GO:0000049	ctu1
260	GO:0016020	nitr12
261	GO:0009617	nitr12
262	GO:0005576	wfdc2
263	GO:0005615	wfdc2
264	GO:0045087	wfdc2
265	GO:0004867	wfdc2
266	GO:0030414	wfdc2
267	GO:0019731	wfdc2
269	GO:0016192	stx5al
270	GO:0016020	stx5al
271	GO:0000149	stx5al
272	GO:0005484	stx5al
273	GO:0006886	stx5al
274	GO:0006906	stx5al
275	GO:0048278	stx5al
276	GO:0012505	stx5al
277	GO:0031201	stx5al
278	GO:0006888	stx5al
279	GO:0000139	stx5al
280	GO:0007165	si:dkeyp-68b7.12
281	GO:0007264	si:dkeyp-68b7.12
282	GO:0005096	si:dkeyp-68b7.12
283	GO:0005515	ldlrb
284	GO:0016020	ldlrb
285	GO:0005886	ldlrb
286	GO:0005509	ldlrb
287	GO:0006897	ldlrb
288	GO:0021517	ldlrb
289	GO:0005901	ldlrb
291	GO:0007018	kif7
292	GO:0003777	kif7
293	GO:0008017	kif7
294	GO:0005524	kif7
300	GO:0003779	nrap
301	GO:0016020	or108-2
302	GO:0005886	or108-2
303	GO:0004930	or108-2
304	GO:0007165	or108-2
305	GO:0007186	or108-2
306	GO:0004984	or108-2
307	GO:0007608	or108-2
308	GO:0050896	or108-2
309	GO:0016021	or108-2
310	GO:0005549	or108-2
311	GO:0050911	or108-2
312	GO:0016020	gpr155a
313	GO:0055085	gpr155a
314	GO:0035556	gpr155a
315	GO:0016021	gpr155a
316	GO:0048856	gpr155a
317	GO:0016020	snx27b
318	GO:0007165	snx27b
319	GO:0006886	snx27b
320	GO:0035091	snx27b
321	GO:0005769	snx27b
322	GO:0016192	snx27b
323	GO:0005768	snx27b
324	GO:0032266	snx27b
325	GO:0043231	snx27b
326	GO:0016197	snx27b
327	GO:0005515	snx27b
329	GO:0006879	hamp
330	GO:0005576	hamp
331	GO:0005829	nt5c1ba
332	GO:0000166	nt5c1ba
333	GO:0000287	nt5c1ba
334	GO:0005737	nt5c1ba
335	GO:0008253	nt5c1ba
336	GO:0009117	nt5c1ba
337	GO:0046085	nt5c1ba
338	GO:0007165	araf
339	GO:0005829	araf
340	GO:0004674	araf
341	GO:0016301	araf
342	GO:0016310	araf
343	GO:0046332	araf
344	GO:0060389	araf
345	GO:1900108	araf
346	GO:0005739	araf
347	GO:0004709	araf
348	GO:0000165	araf
349	GO:0046872	araf
350	GO:0004672	araf
351	GO:0005524	araf
352	GO:0006468	araf
353	GO:0000166	araf
354	GO:0048513	araf
355	GO:0048468	araf
357	GO:0005739	isca2
358	GO:0051536	isca2
359	GO:0016226	isca2
360	GO:0005506	isca2
361	GO:0051537	isca2
362	GO:0051539	isca2
363	GO:0106035	isca2
364	GO:0005096	si:dkey-33c9.6
365	GO:0043547	si:dkey-33c9.6
366	GO:0005085	si:dkey-33c9.6
367	GO:0007165	si:dkey-33c9.6
368	GO:0016020	si:dkey-33c9.6
369	GO:0045202	si:dkey-33c9.6
370	GO:0030424	si:dkey-33c9.6
371	GO:0043197	si:dkey-33c9.6
372	GO:0005737	rptor
373	GO:0010506	rptor
374	GO:0030674	rptor
375	GO:0009267	rptor
376	GO:0030307	rptor
377	GO:0031929	rptor
378	GO:0071230	rptor
379	GO:0071902	rptor
380	GO:0031931	rptor
381	GO:0038202	rptor
382	GO:0005515	rptor
383	GO:0035556	zgc:174180
384	GO:0005515	zgc:174180
385	GO:0016020	zgc:174180
387	GO:0005634	INTS15
388	GO:0005575	INTS15
389	GO:0008150	INTS15
390	GO:0003674	INTS15
391	GO:0032039	INTS15
