SYMBOL	PATH
334	ADCY8	04114
335	ADCY8	04270
336	ADCY8	04540
337	ADCY8	04720
338	ADCY8	04742
339	ADCY8	04912
340	ADCY8	04914
341	ADCY8	04916
342	ADCY8	04970
343	ADCY8	04971
344	ADCY8	04972
345	ADCY8	04976
346	ADCY8	05414
347	ADCY9	00230
348	ADCY9	04020
349	ADCY9	04062
350	ADCY9	04114
351	ADCY9	04270
352	ADCY9	04540
353	ADCY9	04912
354	ADCY9	04914
355	ADCY9	04916
356	ADCY9	04962
357	ADCY9	04970
358	ADCY9	04971
359	ADCY9	04972
360	ADCY9	04976
361	ADCY9	05110
362	ADCY9	05414
364	ADCYAP1R1	04080
370	ADH1A	00010
371	ADH1A	00071
372	ADH1A	00350
373	ADH1A	00830
374	ADH1A	00980
375	ADH1A	00982
376	ADH1A	01100
377	ADH1B	00010
378	ADH1B	00071
379	ADH1B	00350
380	ADH1B	00830
381	ADH1B	00980
382	ADH1B	00982
383	ADH1B	01100
384	ADH1C	00010
385	ADH1C	00071
386	ADH1C	00350
387	ADH1C	00830
388	ADH1C	00980
389	ADH1C	00982
390	ADH1C	01100
391	ADH4	00010
392	ADH4	00071
393	ADH4	00350
394	ADH4	00830
395	ADH4	00980
396	ADH4	00982
397	ADH4	01100
398	ADH5	00010
399	ADH5	00071
400	ADH5	00350
401	ADH5	00830
402	ADH5	00980
403	ADH5	00982
404	ADH5	01100
405	ADH6	00010
406	ADH6	00071
407	ADH6	00350
408	ADH6	00830
409	ADH6	00980
410	ADH6	00982
411	ADH6	01100
412	ADH7	00010
413	ADH7	00071
414	ADH7	00350
415	ADH7	00830
416	ADH7	00980
417	ADH7	00982
418	ADH7	01100
419	ADK	00230
420	ADK	01100
422	ADORA1	04080
423	ADORA2A	04020
424	ADORA2A	04080
425	ADORA2A	04270
426	ADORA2B	04020
427	ADORA2B	04080
428	ADORA2B	04270
430	ADORA3	04080
432	PARP1	03410
433	PARP4	03410
436	ADRA1D	04020
437	ADRA1D	04080
438	ADRA1D	04270
439	ADRA1D	04970
440	ADRA1B	04020
441	ADRA1B	04080
442	ADRA1B	04270
443	ADRA1B	04970
444	ADRA1A	04020
445	ADRA1A	04080
446	ADRA1A	04270
447	ADRA1A	04970
448	ADRA2A	04080
449	ADRA2B	04080
450	ADRA2C	04080
451	ADRB1	04020
452	ADRB1	04080
453	ADRB1	04144
454	ADRB1	04540
455	ADRB1	04970
456	ADRB1	05414
457	ADRB2	04020
458	ADRB2	04080
459	ADRB2	04144
460	ADRB2	04970
461	ADRB3	04020
462	ADRB3	04080
463	ADRB3	04144
464	ADRB3	04970
465	GRK2	04062
466	GRK2	04144
467	GRK3	04062
468	GRK3	04144
469	GRK3	04740
470	ADSL	00230
471	ADSL	00250
472	ADSL	01100
473	ADSS2	00230
474	ADSS2	00250
475	ADSS2	01100
476	AP2A1	04144
477	AP2A1	05016
478	AP2A2	04144
479	AP2A2	05016
480	AP1B1	04142
481	AP2B1	04144
482	AP2B1	05016
483	AP1G1	04142
493	AGA	00511
494	AGA	04142
497	AGL	00500
498	AGL	01100
500	AGRP	04920
501	JAG1	04330
502	AGT	04614
503	AGTR1	04020
504	AGTR1	04080
505	AGTR1	04270
506	AGTR1	04614
507	AGTR2	04080
508	AGTR2	04614
509	APLNR	04080
510	AGXT	00250
511	AGXT	00260
512	AGXT	01100
513	AGXT	04146
515	AHCY	00270
516	AHCY	01100
523	AK1	00230
524	AK1	01100
525	AK2	00230
526	AK2	01100
527	AK4	00230
528	AK4	01100
530	AKT1	04010
531	AKT1	04012
532	AKT1	04062
533	AKT1	04150
534	AKT1	04210
535	AKT1	04370
536	AKT1	04380
537	AKT1	04510
538	AKT1	04530
539	AKT1	04620
540	AKT1	04630
541	AKT1	04660
542	AKT1	04662
543	AKT1	04664
544	AKT1	04666
545	AKT1	04722
546	AKT1	04910
547	AKT1	04914
548	AKT1	04920
549	AKT1	04973
550	AKT1	05142
551	AKT1	05145
552	AKT1	05160
553	AKT1	05200
554	AKT1	05210
555	AKT1	05211
556	AKT1	05212
557	AKT1	05213
558	AKT1	05214
559	AKT1	05215
560	AKT1	05218
561	AKT1	05220
562	AKT1	05221
563	AKT1	05222
564	AKT1	05223
565	AKT2	04010
566	AKT2	04012
567	AKT2	04062
568	AKT2	04150
569	AKT2	04210
570	AKT2	04370
571	AKT2	04380
572	AKT2	04510
573	AKT2	04530
574	AKT2	04620
575	AKT2	04630
576	AKT2	04660
577	AKT2	04662
578	AKT2	04664
579	AKT2	04666
580	AKT2	04722
581	AKT2	04910
582	AKT2	04914
583	AKT2	04920
584	AKT2	04973
585	AKT2	05142
586	AKT2	05145
587	AKT2	05160
588	AKT2	05200
589	AKT2	05210
590	AKT2	05211
591	AKT2	05212
592	AKT2	05213
593	AKT2	05214
594	AKT2	05215
595	AKT2	05218
596	AKT2	05220
597	AKT2	05221
598	AKT2	05222
599	AKT2	05223
600	ALAD	00860
601	ALAD	01100
602	ALAS1	00260
603	ALAS1	00860
604	ALAS1	01100
605	ALAS2	00260
606	ALAS2	00860
607	ALAS2	01100
609	ALCAM	04514
610	ABCD1	02010
611	ABCD1	04146
612	ALDH1A1	00830
613	ALDH1A1	01100
614	ALDH2	00010
615	ALDH2	00040
616	ALDH2	00053
617	ALDH2	00071
618	ALDH2	00280
619	ALDH2	00310
620	ALDH2	00330
621	ALDH2	00340
622	ALDH2	00380
623	ALDH2	00410
624	ALDH2	00561
625	ALDH2	00620
626	ALDH2	00640
627	ALDH2	01100
628	ALDH3A1	00010
629	ALDH3A1	00340
630	ALDH3A1	00350
631	ALDH3A1	00360
632	ALDH3A1	00980
633	ALDH3A1	00982
634	ALDH3A1	01100
635	ALDH1B1	00010
636	ALDH1B1	00040
637	ALDH1B1	00053
638	ALDH1B1	00071
639	ALDH1B1	00280
640	ALDH1B1	00310
641	ALDH1B1	00330
642	ALDH1B1	00340
643	ALDH1B1	00380
644	ALDH1B1	00410
645	ALDH1B1	00561
646	ALDH1B1	00620
647	ALDH1B1	00640
648	ALDH1B1	01100
649	ALDH1A3	00010
650	ALDH1A3	00340
651	ALDH1A3	00350
652	ALDH1A3	00360
653	ALDH1A3	00980
654	ALDH1A3	00982
655	ALDH1A3	01100
656	ALDH3B1	00010
657	ALDH3B1	00340
658	ALDH3B1	00350
659	ALDH3B1	00360
660	ALDH3B1	00980
661	ALDH3B1	00982
662	ALDH3B1	01100
663	ALDH3B2	00010
664	ALDH3B2	00340
665	ALDH3B2	00350
666	ALDH3B2	00360
667	ALDH3B2	00980
668	ALDH3B2	00982
669	ALDH3B2	01100
670	ALDH9A1	00010
671	ALDH9A1	00053
672	ALDH9A1	00071
673	ALDH9A1	00280
674	ALDH9A1	00310
675	ALDH9A1	00330
676	ALDH9A1	00340
677	ALDH9A1	00380
678	ALDH9A1	00410
679	ALDH9A1	00561
680	ALDH9A1	00620
681	ALDH9A1	00640
682	ALDH9A1	01100
683	ALDH3A2	00010
684	ALDH3A2	00040
685	ALDH3A2	00053
686	ALDH3A2	00071
687	ALDH3A2	00280
688	ALDH3A2	00310
689	ALDH3A2	00330
690	ALDH3A2	00340
691	ALDH3A2	00380
692	ALDH3A2	00410
693	ALDH3A2	00561
694	ALDH3A2	00620
695	ALDH3A2	00640
696	ALDH3A2	01100
697	ABCD2	02010
698	ABCD2	04146
699	ALDOA	00010
700	ALDOA	00030
701	ALDOA	00051
702	ALDOA	01100
704	ALDOB	00010
705	ALDOB	00030
706	ALDOB	00051
707	ALDOB	01100
708	ALDOC	00010
709	ALDOC	00030
710	ALDOC	00051
711	ALDOC	01100
712	AKR1B1	00040
713	AKR1B1	00051
714	AKR1B1	00052
715	AKR1B1	00561
716	AKR1B1	00620
717	AKR1B1	01100
720	ALOX12	00590
721	ALOX12	01100
722	ALOX5	00590
723	ALOX5	01100
724	ALOX5	05145
726	ALOX12B	00590
727	ALOX12B	01100
730	ALOX15	00590
731	ALOX15	00591
732	ALOX15	01100
733	ALOX15B	00590
734	ALOX15B	01100
735	ALPI	00790
736	ALPI	01100
737	ALPL	00790
738	ALPL	01100
739	ALPP	00790
740	ALPP	01100
741	ALPG	00790
742	ALPG	01100
748	AMD1	00270
749	AMD1	00330
750	AMD1	01100
754	AMFR	04141
755	AMH	04060
756	AMH	04350
757	AMHR2	04060
758	AMHR2	04350
759	AMPD1	00230
760	AMPD1	01100
761	AMPD2	00230
762	AMPD2	01100
763	AMPD3	00230
764	AMPD3	01100
765	AMPH	04666
767	AMT	00260
768	AMT	00670
769	AMT	00910
770	AMT	01100
771	AMY1A	00500
772	AMY1A	01100
773	AMY1A	04970
774	AMY1A	04973
775	AMY1B	00500
776	AMY1B	01100
777	AMY1B	04970
778	AMY1B	04973
779	AMY1C	00500
780	AMY1C	01100
781	AMY1C	04970
782	AMY1C	04973
783	AMY2A	00500
784	AMY2A	01100
785	AMY2A	04972
786	AMY2A	04973
787	AMY2B	00500
788	AMY2B	01100
789	AMY2B	04972
790	AMY2B	04973
794	ANGPT1	05323
800	ANPEP	00480
801	ANPEP	01100
802	ANPEP	04614
803	ANPEP	04640
804	SLC25A4	04020
805	SLC25A4	05012
806	SLC25A4	05016
807	SLC25A5	04020
808	SLC25A5	05012
809	SLC25A5	05016
810	SLC25A6	04020
811	SLC25A6	05012
812	SLC25A6	05016
826	AOC2	00260
827	AOC2	00350
828	AOC2	00360
829	AOC2	00410
830	AOC2	01100
831	AOX1	00280
832	AOX1	00350
833	AOX1	00380
834	AOX1	00750
835	AOX1	00760
836	AOX1	00982
837	AOX1	01100
838	APAF1	04115
839	APAF1	04210
840	APAF1	05010
841	APAF1	05012
842	APAF1	05014
843	APAF1	05016
844	APAF1	05222
845	NUDT2	00230
846	NUDT2	00240
850	APBB1	05010
852	APC	04310
853	APC	04810
854	APC	05200
855	APC	05210
856	APC	05213
857	APC	05217
859	AIRE	04120
860	AIRE	05340
862	APEX1	03410
863	BIRC2	04120
864	BIRC2	04210
865	BIRC2	04510
866	BIRC2	04621
867	BIRC2	05145
868	BIRC2	05200
869	BIRC2	05222
870	BIRC3	04120
871	BIRC3	04210
872	BIRC3	04510
873	BIRC3	04621
874	BIRC3	05145
875	BIRC3	05200
876	BIRC3	05222
877	XIAP	04120
878	XIAP	04210
879	XIAP	04510
880	XIAP	04621
881	XIAP	05145
882	XIAP	05200
883	XIAP	05222
884	BIRC5	05200
885	BIRC5	05210
888	APOA1	03320
889	APOA1	04975
890	APOA1	04977
891	APOA1	05143
892	APOA2	03320
893	APOA4	04975
894	APOA4	04977
895	APOB	04975
896	APOB	04977
900	AQP8	04976
902	APOC3	03320
905	APOE	05010
907	APP	05010
908	APRT	00230
909	APRT	01100
910	KLK3	05200
911	KLK3	05215
912	FAS	04010
913	FAS	04060
914	FAS	04115
915	FAS	04210
916	FAS	04650
917	FAS	04940
918	FAS	05010
919	FAS	05142
920	FAS	05143
921	FAS	05200
922	FAS	05320
923	FAS	05330
924	FAS	05332
925	FASLG	04010
926	FASLG	04060
927	FASLG	04210
928	FASLG	04650
929	FASLG	04722
930	FASLG	04940
931	FASLG	05142
932	FASLG	05143
933	FASLG	05200
934	FASLG	05320
935	FASLG	05330
936	FASLG	05332
938	AQP1	04964
939	AQP1	04976
