SYMBOL	PATH
bmpr1ba	04350
ppardb	03320
ppardb	04310
mhc2dab	04145
mhc2dab	04514
mhc2dab	04672
mhc2dcb	04145
mhc2dcb	04514
mhc2dcb	04672
mhc2deb	04145
mhc2deb	04514
mhc2deb	04672
stat3	04630
stat3	04920
stat1a	04620
stat1a	04630
mhc2a	04145
mhc2a	04514
mhc2a	04672
pycard	04621
pycard	04623
smx5	03018
smx5	03040
cdc25b	04010
cdc25b	04110
cdc25b	04914
axin1	04310
caspa	04621
caspa	04623
actb1	04145
actb1	04510
actb1	04520
actb1	04530
actb1	04810
actb2	04145
actb2	04510
actb2	04520
actb2	04530
actb2	04810
hccsb	00860
casp8	04115
casp8	04210
casp8	04620
casp8	04621
casp8	04622
fzd9b	04310
fzd9b	04916
ccnb1	04110
ccnb1	04114
ccnb1	04115
ccnb1	04914
psen2	04330
actn3a	04510
actn3a	04520
actn3a	04530
actn3a	04810
stx1b	04130
notch2	04320
notch2	04330
notch3	04320
notch3	04330
pcxb	00020
pcxb	00620
pcxb	01100
tnnt2a	04260
fzd8b	04310
fzd8b	04916
fzd8a	04310
fzd8a	04916
dct	00350
dct	01100
dct	04916
fgd	04810
zic2a	04340
axin2	04310
baxa	04115
baxa	04141
baxa	04210
tnnc2.2	04020
smad3a	04110
smad3a	04144
smad3a	04310
smad3a	04350
smad3a	04520
bmal1a	04710
badb	04012
badb	04210
badb	04370
badb	04510
badb	04910
rplp0	03010
per3	04710
fth1a	00860
ctnnbip1	04310
bdnf	04010
adar	04623
nme6	00230
nme6	00240
nme6	01100
fabp7a	03320
fgfr3	04010
fgfr3	04144
fgfr3	04810
tradd	04210
tradd	04622
tradd	04920
apaf1	04115
apaf1	04210
ngfb	04010
ngfb	04210
gart	00230
gart	00670
gart	01100
myhz1.1	04530
bmpr1aa	04060
bmpr1aa	04350
p2rx3a	04020
p2rx3a	04080
cxcl14	04060
fech	00860
fech	01100
wnt3a	04310
wnt3a	04340
wnt3a	04916
cldn7b	04514
cldn7b	04530
cyp19a1b	00140
cyp19a1b	01100
nos1	00330
nos1	01100
nos1	04020
nos1	04145
gch2	00790
gch2	01100
atp1b1a	04260
atp1b2a	04260
atp1b3b	04260
atp1b1b	04260
csf1ra	04060
csf1ra	04144
psmb7	03050
psmb12	03050
psmb13a	03050
psmb9b	03050
alas2	00260
alas2	00860
alas2	01100
alas1	00260
alas1	00860
alas1	01100
atp1a2a	04260
atp1a3a	04260
atp1a3b	04260
atp1a1a.1	04260
atp1a1b	04260
s1pr1	04080
dcn	04350
hsd17b8	00140
hsd17b8	01100
mhc1uea	04144
mhc1uea	04145
mhc1uea	04514
oprm1	04080
prss1	04080
ctsd	04142
rpa2	03030
rpa2	03420
rpa2	03430
rpa2	03440
ctbp1	04310
ctbp1	04330
ctbp2a	04310
ctbp2a	04330
mapk8b	04010
mapk8b	04012
mapk8b	04141
mapk8b	04310
mapk8b	04510
mapk8b	04620
mapk8b	04621
mapk8b	04622
mapk8b	04910
mapk8b	04912
mapk8b	04914
mapk8b	04920
mapk14a	04010
mapk14a	04370
mapk14a	04620
mapk14a	04621
mapk14a	04622
mapk14a	04912
mapk14a	04914
map2k6	04010
map2k6	04620
map2k6	04912
cpeb1a	04114
cpeb1a	04320
cpeb1a	04914
eif4ea	03013
eif4ea	04150
eif4ea	04910
gstp1.2	00480
gstp1.2	00980
gstp1.2	00982
cyp11a1.1	00140
cyp11a1.1	01100
sms	00270
sms	00330
sms	00410
sms	00480
sms	01100
papss2b	00230
papss2b	00450
papss2b	00920
papss2b	01100
siah1	04115
siah1	04120
siah1	04310
pard6gb	04144
pard6gb	04530
dvl3a	04310
dvl3a	04330
dvl3a	04916
cdk1	04110
cdk1	04114
cdk1	04115
cdk1	04540
cdk1	04914
tyms	00240
tyms	00670
tyms	01100
atp5mc3b	00190
atp5mc3b	01100
cldna	04514
cldna	04530
cldnb	04514
cldnb	04530
cldn3d	04514
cldn3d	04530
cldnd	04514
cldnd	04530
cldne	04514
cldne	04530
cldnf	04514
cldnf	04530
cldng	04514
cldng	04530
cldn3c	04514
cldn3c	04530
cldnj	04514
cldnj	04530
cldn1	04514
cldn1	04530
cldn15la	04514
cldn15la	04530
cldn11b	04514
cldn11b	04530
dhfr	00670
dhfr	00790
dhfr	01100
vipr2	04080
glra4a	04080
ssr2	04141
cry2	04710
psma6l	03050
bco1	00830
bco1	01100
cp	00860
bcl2l1	04210
bcl2l1	04630
mpz	04514
rps9	03010
cdh1	04514
cdh1	04520
odc1	00330
odc1	00480
odc1	01100
vars1	00290
vars1	00970
btg1	03018
igf1	04114
igf1	04115
igf1	04150
igf1	04510
igf1	04914
dusp5	04010
spry4	04630
ncam2	04514
ncam1b	04514
etv6	04320
ube2ia	03013
ube2ia	04120
cxcr4b	04060
cxcr4b	04144
cxcr4b	04672
arpc4	04810
