"Gene" "logFC" "logCPM" "LR" "PValue" "FDR" "ENSEMBLID" "ENTREZID"
"1712" "ca4a" -3.1998675423402 2.12621554029015 22.9051229904429 1.70197636498178e-06 0.000198397048819935 "ENSDARG00000043589" 555196
"1718" "ca8" -1.78213241934129 3.76094990285186 22.869450305506 1.73385823992236e-06 0.000199505559413002 "ENSDARG00000039098" 550233
"1729" "cabp2a" -3.62052747204476 2.52393866680482 44.166345226825 3.0162266555769e-11 3.36215015013837e-08 "ENSDARG00000052016" 572226
"1730" "CABP4" -2.28340884736432 1.15610798064847 8.36718344858702 0.0038205729849063 0.0396649846013723 "ENSDARG00000105631" 101886622
"1731" "cabp5a" -4.1806644509399 2.01896139934619 30.4148343401043 3.48850205336196e-08 8.18650448969876e-06 "ENSDARG00000002576" 393671
"1732" "cabp5b" -3.16197674975429 1.37608400669661 19.8063086277192 8.56993563600323e-06 0.000701122945266595 "ENSDARG00000028485" 553766
"1743" "cacna1fb" -2.6716072452515 1.92154404074198 21.5228068024665 3.49645538627378e-06 0.00035033304389996 "ENSDARG00000023683" 559964
"1756" "cacnb2b" -1.79132150860024 1.58599774057566 11.6440889628516 0.000644068698600219 0.013514076752394 "ENSDARG00000055565" 558806
"1768" "cacng5a" -2.21583794445145 1.4282705152913 9.92485949222191 0.00163061295839189 0.0239058074830617 "ENSDARG00000003326" 797409
"1788" "calb2b" -3.27775731593125 4.79897600898329 16.9420316932176 3.85387415717022e-05 0.00210840017156843 "ENSDARG00000036344" 393684
"1816" "calua" -2.95123296059973 7.51862060328344 23.0955301362857 1.54148634002384e-06 0.000183282725828835 "ENSDARG00000045676" 415241
"1817" "calub" -1.92625192307854 6.22848723112058 16.0882993422616 6.04564165497288e-05 0.00285248727292173 "ENSDARG00000005115" 394057
"1821" "camk1db" -1.55915676238309 3.03331964312736 8.08991242772406 0.00445123130178343 0.0431454947104932 "ENSDARG00000017446" 791176
"1822" "camk1ga" -4.28358955246835 1.83323635377773 35.1257987662628 3.09078780307427e-09 1.28195815041464e-06 "ENSDARG00000044526" 335654
"1823" "camk1gb" -2.63004949958296 2.59010582469046 19.7266046157866 8.93487959972547e-06 0.00071780890838335 "ENSDARG00000008788" 393802
"1832" "camk2n2" -2.0771633948757 2.83721566149744 13.1349368953012 0.000289840037048073 0.00781537790211565 "ENSDARG00000111102" 436915
"1835" "camkk1b" -3.36381955763806 1.98651481709518 34.4397864106266 4.39643765380417e-09 1.63355136574161e-06 "ENSDARG00000015134" 100170786
"1865" "capn3a" -5.99035553205844 3.67116261751619 37.0620665973748 1.1442826607866e-09 5.37060033029711e-07 "ENSDARG00000041864" 447832
"1985" "ccbe1" -1.62822339930553 2.61072246887147 9.25497056276107 0.00234857110367821 0.029664848182791 "ENSDARG00000086158" 555629
"2006" "ccdc167" -1.57373178188734 4.14183978524386 16.7151972303247 4.34316895108998e-05 0.00231215965866856 "ENSDARG00000045850" 556080
"2080" "ccl38.1" -2.7695409861507 2.94540646565259 10.4737478446514 0.00121082828462468 0.0198120389507167 "ENSDARG00000041919" 794050
"2089" "ccn1" -2.19005183316201 8.28090404066457 9.5550016566547 0.00199405332943528 0.0268424205390913 "ENSDARG00000023062" 403033
"2092" "ccn2a" -1.68777949449896 7.60841538206691 11.8577431538154 0.000574220897944453 0.0124893045302919 "ENSDARG00000042934" 321449
"2097" "ccn6" -2.39703942983073 2.85127775718965 8.40104863491945 0.00375004623412664 0.0392500437709205 "ENSDARG00000071048" 794092
"2156" "cd151l" -1.55581946843984 5.63464470440212 9.27631202538031 0.0023213634783152 0.0295027499570327 "ENSDARG00000068629" 402948
"2253" "cdhr1a" -2.3855320901283 2.11902569544587 28.7185577643944 8.36978238796188e-08 1.79849480589518e-05 "ENSDARG00000004643" 449008
"2276" "cdk5r2b" -2.03898416182399 2.09331632237214 8.11298313917605 0.00439493422909619 0.0428325967081587 "ENSDARG00000078671" 445114
"2287" "cdkn1a" -1.58672692195264 4.24462583816993 18.0321166320658 2.17209428823125e-05 0.00140440602311456 "ENSDARG00000076554" 100151416
"2313" "cebpb" -2.11302253803418 6.99184610576079 10.2049470761244 0.00140064411924523 0.0217664360504641 "ENSDARG00000042725" 140814
"2349" "cenpw" -1.917312060854 3.15911318999167 8.31233520146617 0.00393767322676133 0.0402520506027065 "ENSDARG00000092136" 567320
"2442" "cga" -3.82951442639367 1.35653853226363 12.2428376608983 0.00046704746401479 0.0108602236254287 "ENSDARG00000040479" 402987
"2448" "ch25h" -2.8792175383089 1.85854459749543 14.0062326256822 0.000182205667083846 0.00581373613330721 "ENSDARG00000045190" 494109
"2549" "CHRNB4" -2.30305159342931 2.35322039914312 10.3491317256918 0.00129535600502504 0.0207198873090777 "ENSDARG00000101677" 568566
"2588" "cinp" -1.71596949551802 3.63200765173482 15.2893400041274 9.22355529671413e-05 0.00377298414488295 "ENSDARG00000073910" 100003640
"2605" "ckap4" -1.50471421533926 6.1298033794753 8.00831534852661 0.00465630349156094 0.0445043798349354 "ENSDARG00000032405" 406549
"2616" "CKS2" -1.65712688799672 4.02812629230657 10.659383064803 0.00109513915285686 0.0186907242021073 "ENSDARG00000117089" 415200
"2654" "cldn5b" -1.51218976297297 5.40616343943329 7.6937734821511 0.00554116526604462 0.0492838594651995 "ENSDARG00000014059" 450023
"2666" "cldng" -2.64556139749654 1.99177693074474 16.5010998840642 4.86218605608444e-05 0.00249597739504468 "ENSDARG00000003701" 81586
"2676" "clic1" -1.64203156640601 5.88290898037384 16.5094521466565 4.84081489983751e-05 0.00249525820053763 "ENSDARG00000103340" 324481
"2677" "clic2" -2.99500094018823 9.06472563506518 15.2577031387512 9.37934402465445e-05 0.00381049204281804 "ENSDARG00000010625" 436834
"2710" "CLSTN2" -2.55187362183746 1.85105007058891 17.8293099597927 2.41632323863645e-05 0.00150157229829551 "ENSDARG00000060638" 569664
"2740" "cmtm3" -2.03337350935337 4.25757001750569 11.8608409202471 0.000573266527767974 0.0124857935687976 "ENSDARG00000008811" 445074
"2743" "cmtm7" -1.79818561413582 4.72156527827993 15.0397338365482 0.00010527130549771 0.00412004615199127 "ENSDARG00000010032" 559138
"2750" "cndp1" -3.74808637049655 4.1208318977655 22.4286686666787 2.1809420860372e-06 0.000237177451856545 "ENSDARG00000069583" 619255
"2755" "cnga1a" -2.22066297211581 1.28857160626145 8.81791181234137 0.00298287826403979 0.0343445021556808 "ENSDARG00000029898" 100001558
"2758" "CNGA3" -2.74769945726535 1.13424345794163 10.9555255654045 0.000933248982508365 0.0169165906058388 "ENSDARG00000070726" 567242
"2792" "cnpy2" -1.71538002974391 3.69400411541636 13.0284678333147 0.000306791446160753 0.00810611176633633 "ENSDARG00000007207" 664684
"2794" "cnpy4" -1.71766242633067 4.28756970312393 20.976877021266 4.64860169409684e-06 0.000437031057975158 "ENSDARG00000055797" 568776
"2798" "cnrip1b" -3.27186713928402 2.06041934208034 14.8612358651931 0.000115716692105702 0.00433150734084697 "ENSDARG00000037337" 556881
"2802" "cntn1b" -2.68401661192654 2.662462080724 17.4598093604636 2.93446160806942e-05 0.00172158298618152 "ENSDARG00000045685" 541474
"2842" "col1a2" -2.07033686081261 10.1602474264102 13.920895026269 0.000190667046352246 0.00598420926895287 "ENSDARG00000020007" 336471
"2844" "col28a1a" -2.52688976504399 2.23681292911275 8.36513738650333 0.0038248770333574 0.0396649846013723 "ENSDARG00000077084" 555428
"2860" "col8a1a" -2.23170341901056 2.34733330282077 9.00383607298538 0.00269413513281157 0.0321161570145598 "ENSDARG00000077403" 557795
"2861" "col8a2" -2.62758704785086 5.27765558884433 13.613755900081 0.000224534230267685 0.00664107462159894 "ENSDARG00000060893" 794479
"2876" "commd4" -1.67764183142306 4.86940130093893 12.6532293068316 0.000374917515953067 0.00933890209081417 "ENSDARG00000061946" 767771
"2879" "commd7" -1.56372620630618 4.92968894824644 12.7011647787312 0.00036542788505409 0.00918124884098953 "ENSDARG00000036784" 445183
"2890" "cope" -1.79595835591681 7.20877089756339 14.0339859277227 0.000179536197258474 0.0057794307345882 "ENSDARG00000018562" 492492
"2899" "copz1" -1.53225443152013 6.49823033154918 11.422492549446 0.000725602849941375 0.014443957449055 "ENSDARG00000017844" 57970
"2935" "cox4i2" -1.73168737608705 4.42053382628637 14.4485219891779 0.000144042848502027 0.00503189264698388 "ENSDARG00000022509" 393776
"2948" "cox7a2a" -2.22550157103336 7.50132085291387 19.2547406802162 1.1438599133232e-05 0.000843005849343769 "ENSDARG00000053217" 554103
"2981" "cplx4a" -6.01733963190612 3.47287482498765 48.588132446228 3.15774302375071e-12 5.63183468285939e-09 "ENSDARG00000059978" 768157
"2987" "cpne1" -1.62882261801038 7.72350134934853 14.5222092796428 0.000138516871832598 0.00490168335145711 "ENSDARG00000075536" 324841
"2999" "CPS1" -2.65201181835525 1.65095455338032 10.6822836825837 0.00108166445769764 0.0186031683732279 "ENSDARG00000020028" 555623
"3044" "creld2" -1.53794733383109 4.27542571087195 8.74763964602148 0.00310003042107273 0.0350884012812942 "ENSDARG00000029071" 393495
"3059" "crip2" -1.71955453165703 8.28995703827125 13.9046151488689 0.000192325638612313 0.00600031602056353 "ENSDARG00000070670" 554826
"3094" "cryaa" -6.27966026861055 2.21729310302674 26.9942465973027 2.04061953929715e-07 3.53344169741405e-05 "ENSDARG00000053502" 100000769
"3098" "cryba1b" -7.79849174179562 6.03824514735407 25.7318327794958 3.92302539624452e-07 5.78240974727446e-05 "ENSDARG00000053875" 436859
"3099" "cryba1l1" -7.54499908009811 6.07774488734194 43.5441854940243 4.14493932030732e-11 3.89078909356216e-08 "ENSDARG00000032929" 550433
"3100" "cryba1l2" -4.08510566868959 2.45992461305246 19.0897315608813 1.24714092291664e-05 0.000904177169114561 "ENSDARG00000014803" 449792
"3101" "cryba2a" -7.9703711120477 4.70262857134789 37.8642180028607 7.58436182156684e-10 3.86477408821842e-07 "ENSDARG00000030349" 415139
"3102" "cryba2b" -8.31053195893148 5.98788402655332 31.7250285030058 1.77618383146991e-08 4.47900668445076e-06 "ENSDARG00000041925" 436857
"3103" "cryba4" -7.89728287734497 6.1482855974466 39.3524196573674 3.53814156244834e-10 2.03557273439568e-07 "ENSDARG00000024548" 553178
"3104" "crybb1" -8.53779238697727 6.94124727199106 36.4158016278582 1.59405621363191e-09 6.93414452929882e-07 "ENSDARG00000068507" 114418
"3105" "crybb1l2" -9.57532848602088 6.99085677507482 44.010846093816 3.26561291012096e-11 3.42601213247102e-08 "ENSDARG00000016793" 560055
"3106" "crybb1l3" -2.41757788882396 1.43440270100526 9.52946920616249 0.00202198591054613 0.0270940035421414 "ENSDARG00000007655" 566891
"3109" "crybgx" -7.63755443506305 2.7169637787462 33.8673995805515 5.89990722239965e-09 1.97621327737528e-06 "ENSDARG00000036140" 553474
"3114" "crygm2d1" -8.36522571844796 4.47568349590331 31.7175199743942 1.78306405716851e-08 4.47900668445076e-06 "ENSDARG00000087324" 553710
"3115" "crygm2d10" -8.13897672581306 4.9643296333021 39.7422100149357 2.89794175531155e-10 1.84588540021362e-07 "ENSDARG00000087765" 100126134
"3116" "crygm2d11" -8.2196559280189 3.25506260813145 32.0025362313245 1.53971425181866e-08 4.1607278304827e-06 "ENSDARG00000069827" 100126132
"3117" "crygm2d12" -7.08747129079356 3.70993907704419 26.2033620492979 3.07287069992278e-07 4.9373557597408e-05 "ENSDARG00000069801" 100000256
"3118" "crygm2d13" -8.21542405800606 4.78335770258185 29.121250787063 6.79871428795876e-08 1.47872035763103e-05 "ENSDARG00000057460" 436681
"3119" "crygm2d14" -7.29526930961376 2.8651991400714 34.3067897286894 4.70736616073987e-09 1.67911750953591e-06 "ENSDARG00000087301" 797707
