ID	p.adjust
GO:0006261	2.96e-08
GO:0002684	2.96e-08
GO:0098542	2.96e-08
GO:0006955	2.96e-08
GO:0002682	2.96e-08
GO:0044419	2.96e-08
GO:0043207	2.96e-08
GO:0051707	2.96e-08
GO:0009607	2.96e-08
GO:0006952	2.96e-08
GO:0045087	4.09846343256179e-08
GO:0050776	6.38819279370421e-08
GO:0008033	1.12899822401101e-07
GO:0006959	1.38876778534089e-07
GO:0002252	2.64504881648821e-07
GO:0050778	6.43768959474954e-07
GO:0071345	9.26827114046818e-07
GO:0019221	3.96461516681164e-06
GO:0007599	4.2014596480638e-06
GO:0007596	6.83004513842399e-06
GO:0034097	6.83004513842399e-06
GO:0042060	6.84960551871125e-06
GO:0006334	1.22879432772961e-05
GO:0009617	1.62958004095303e-05
GO:0050817	1.7442881965643e-05
GO:0050878	1.81854443297803e-05
GO:0006913	2.51156689750112e-05
GO:0051169	2.51156689750112e-05
GO:0006956	2.95846650417826e-05
GO:0002253	3.42282326464862e-05
GO:0000724	4.9332390615838e-05
GO:0000725	4.9332390615838e-05
GO:0009615	5.06298647519704e-05
GO:0090305	5.85126214839771e-05
GO:0002449	5.85126214839771e-05
GO:0140053	6.030746531698e-05
GO:0050657	8.35613251542809e-05
GO:0050658	8.35613251542809e-05
GO:0051236	8.35613251542809e-05
GO:0006270	9.84910586230157e-05
GO:0019882	0.0001423674018501
GO:0006505	0.000162669286927706
GO:0032101	0.000162669286927706
GO:0016064	0.000172211384057753
GO:0019724	0.000172211384057753
GO:0009611	0.000172211384057753
GO:0006403	0.000223122514407042
GO:0002068	0.000230348068166369
GO:0090501	0.000248526821229048
GO:0003323	0.000257212648942726
GO:0051205	0.000266858604773991
GO:0002066	0.000266858604773991
GO:0006506	0.000278456118404986
GO:0009725	0.000278789482796219
GO:1901700	0.000292048704167064
GO:0000070	0.000308432682591603
GO:0000018	0.000312730801103157
GO:0034728	0.000320872901425778
GO:0015671	0.000360032697477018
GO:0045321	0.000375063643613174
GO:0051028	0.00038604909796778
GO:0006888	0.000389653183087839
GO:0010466	0.000421259992500152
GO:0002443	0.00044740171295768
GO:0001775	0.00044740171295768
GO:0031123	0.000566573894039103
GO:0046649	0.000663352042861218
GO:0002250	0.000736508485103358
GO:0015669	0.000779110512631811
GO:0033993	0.000859540528491444
GO:0000154	0.000862736248726195
GO:0051346	0.000934434985009314
GO:0032102	0.000940684728045727
GO:1990868	0.000979981917144199
GO:1990869	0.000979981917144199
GO:0070098	0.00100289958036283
GO:0007608	0.00116329895639044
GO:0006497	0.00138734224349812
GO:0045861	0.00140265977377883
GO:0000387	0.00159774207851706
GO:0042744	0.00159774207851706
GO:0030193	0.00159774207851706
GO:1900046	0.00159774207851706
GO:0010951	0.00159774207851706
GO:0032870	0.00177592302623056
GO:0072376	0.00178077392158023
GO:0072378	0.00178077392158023
GO:0002460	0.00178077392158023
GO:0006954	0.00190226083927608
GO:0045910	0.00200697982539909
GO:0042742	0.00206118955360055
GO:0030261	0.0020905470574452
GO:0032543	0.00226249660110743
GO:0002455	0.00229271514879813
GO:0006958	0.00229271514879813
GO:0052547	0.00244174564823463
GO:0006405	0.00253515863191062
GO:0050900	0.00253515863191062
GO:0000727	0.00255897183293163
GO:0000460	0.00259113452431766
GO:0032392	0.00294067260169241
GO:0032508	0.00294067260169241
GO:0060326	0.00294067260169241
GO:0044282	0.00294067260169241
GO:0071466	0.00306018566925835
GO:0051085	0.0032469733648061
GO:0071391	0.00332317853750746
GO:0042110	0.00332317853750746
GO:0006487	0.00345024893841654
GO:0009410	0.00345024893841654
GO:0002381	0.00348216244326736
GO:0006805	0.00348216244326736
GO:0042743	0.00384757871475608
GO:0033108	0.0044187438868487
GO:0006536	0.0044187438868487
GO:0002237	0.0044187438868487
GO:0071897	0.00442753289727913
GO:0051336	0.00452147351734735
GO:0050818	0.0046117003957762
GO:0006754	0.00465251935232415
GO:0000819	0.00466733799824856
GO:0006400	0.00491677383602779
GO:0051084	0.00543541635081321
GO:0042158	0.00543541635081321
GO:0016073	0.00547803310687209
GO:0002440	0.00547803310687209
GO:0030593	0.00547803310687209
GO:0051607	0.00547803310687209
GO:0140546	0.00547803310687209
GO:0006458	0.00583306442793319
GO:0006367	0.00591746062858974
GO:0051304	0.00591746062858974
GO:0006626	0.00591746062858974
GO:0032496	0.00591746062858974
GO:0000966	0.00603541458459063
GO:0097529	0.00616116368670931
GO:0061077	0.00619222802682162
GO:0043627	0.00637421512638774
GO:0071621	0.00637421512638774
GO:1990266	0.00637421512638774
GO:0030595	0.00637421512638774
GO:0061041	0.00696650678620806
GO:0006936	0.00766207454777526
GO:0042632	0.00775978023840703
GO:0055092	0.00775978023840703
GO:0072593	0.0077872359649883
GO:0051168	0.00810977410256652
GO:0045005	0.008227032635693
GO:0001959	0.008227032635693
GO:0060759	0.008227032635693
GO:0055090	0.00838519912161838
GO:0070328	0.00838519912161838
GO:0006271	0.00908396744143861
GO:0009064	0.00908396744143861
GO:0034341	0.00912310557455893
GO:0015850	0.00912310557455893
GO:0006406	0.00929643709266367
GO:0003009	0.0095420620977809
GO:0034508	0.00997927235784546
GO:0045048	0.0101444783706091
GO:0000469	0.0102841222699856
GO:0080134	0.0113072622575246
GO:0045454	0.0114004997484074
GO:0031076	0.0115427807470493
GO:0048002	0.0116916931875986
GO:0070374	0.0120832871908789
GO:0052548	0.0120832871908789
GO:0097530	0.0121803015996764
GO:0044786	0.0123076115347283
GO:0051923	0.0124098589697993
GO:1905818	0.0125365082594172
GO:0048048	0.0125365082594172
GO:0003012	0.0125365082594172
GO:0022616	0.0125789274232196
GO:0033045	0.0128548687073517
GO:0031348	0.0128548687073517
GO:0065004	0.0128548687073517
GO:0015931	0.0128548687073517
